--START RSA BENCHMARK--
1024, 11, (0.0004002094268798828, 0.010598087310791015, 0.00020060539245605468), (0.0, 0.010599136352539062, 0.0001972198486328125), 0.015999698638916017, 0.007399892807006836, 1024, 30, 11260.8, 1639.0,
2048, 11, (0.0, 0.022794485092163086, 0.00020012855529785156), (0.0, 0.021205663681030273, 0.00019989013671875), 0.032407188415527345, 0.015793371200561523, 1024, 30, 11263.8, 1640.8,
4096, 11, (0.00020251274108886718, 0.041006946563720705, 0.00020017623901367188), (0.0, 0.04160356521606445, 0.0003978729248046875), 0.06379485130310059, 0.030594348907470703, 1024, 30, 11262.0, 1639.6,
--START RSA BENCHMARK--
1024, 11, (0.0, 0.022401189804077147, 0.00020089149475097657), (0.0004023075103759766, 0.021192169189453124, 0.0007978439331054688), 0.02980074882507324, 0.015796422958374023, 1024, 60, 11253.6, 2290.4,
2048, 11, (0.00040297508239746095, 0.042603588104248045, 0.0005977630615234375), (0.0, 0.04319529533386231, 0.00079803466796875), 0.05940046310424805, 0.03059868812561035, 1024, 60, 11255.0, 2294.2,
4096, 11, (0.0, 0.09279046058654786, 0.0), (0.0, 0.08440546989440918, 0.000800180435180664), 0.12320194244384766, 0.06120080947875976, 1024, 60, 11257.4, 2292.0,
8192, 11, (0.0, 0.17059507369995117, 0.0), (0.00019769668579101564, 0.17260985374450682, 0.0006011486053466797), 0.25220208168029784, 0.12319831848144532, 1024, 60, 11255.8, 2293.6,
16384, 11, (0.0, 0.33699860572814944, 0.00019993782043457032), (0.00019974708557128905, 0.3482061862945557, 0.00040001869201660155), 0.543803596496582, 0.24499692916870117, 1024, 60, 11252.8, 2287.4,
32768, 11, (0.00020008087158203126, 0.7269988059997559, 0.00020008087158203126), (0.0006025314331054687, 0.69660325050354, 0.0009926319122314452), 1.2826222896575927, 0.5060102462768554, 1024, 60, 11260.8, 2293.0,
65536, 11, (0.00039882659912109374, 1.3832706451416015, 0.0006023406982421875), (0.0, 1.3862173080444335, 0.0008036136627197265), 3.194959878921509, 1.0190999984741211, 1024, 60, 11257.6, 2292.6,
131072, 11, (0.00020060539245605468, 2.7052038669586183, 0.0001998424530029297), (0.00019998550415039061, 2.6788007736206056, 0.0007981300354003906), 9.02366018295288, 1.949997901916504, 1024, 60, 11259.0, 2293.6,
--START RSA BENCHMARK--
1024, 1024, (0.0147979736328125, 0.24998555183410645, 0.027602672576904297), (0.015801000595092773, 0.026006460189819336, 0.09076080322265626), 0.02880096435546875, 0.015395355224609376, 1024, 60, 1047912.2, 120863.6,
2048, 2048, (0.03160252571105957, 0.5321014881134033, 0.05526957511901855), (0.03079395294189453, 0.05734972953796387, 0.2749928951263428), 0.05800018310546875, 0.029661178588867188, 1024, 60, 2095785.4, 240785.0,
4096, 4096, (0.0598029613494873, 1.1882033824920655, 0.11099452972412109), (0.06040210723876953, 0.13699560165405272, 0.9388048648834229), 0.11859898567199707, 0.06059761047363281, 1024, 60, 4191569.0, 480484.2,
8192, 8192, (0.1215898036956787, 2.6814015388488768, 0.2218001365661621), (0.12080345153808594, 0.3555957317352295, 3.414721727371216), 0.24540348052978517, 0.12100386619567871, 1024, 60, 8383217.6, 960341.2,
16384, 16384, (0.24799413681030275, 6.24119815826416, 0.4421957015991211), (0.24500021934509278, 1.0013980865478516, 13.21291379928589), 0.5264079093933105, 0.25139808654785156, 1024, 60, 16766489.2, 1919894.2,
--START RSA BENCHMARK--
1024, 1024, (0.015604114532470703, 0.255792236328125, 0.02900986671447754), (0.014995813369750977, 0.02700204849243164, 0.04620404243469238), 0.029998207092285158, 0.015193986892700195, 1024, 60, 1048914.4, 120863.4,
2048, 2048, (0.0344024658203125, 0.5398005962371826, 0.05580463409423828), (0.029803991317749023, 0.05739803314208984, 0.09499807357788086), 0.060996389389038085, 0.03079676628112793, 1024, 60, 2097742.6, 240787.2,
4096, 4096, (0.06059122085571289, 1.1908098220825196, 0.11179552078247071), (0.059996604919433594, 0.13740830421447753, 0.2017986297607422), 0.12060532569885254, 0.06559724807739258, 1024, 60, 4195519.4, 480486.4,
8192, 8192, (0.12019996643066407, 2.699200391769409, 0.22719345092773438), (0.12179374694824219, 0.3602169036865234, 0.4705852508544922), 0.2465996265411377, 0.12140684127807617, 1024, 60, 8390962.2, 960341.6,
16384, 16384, (0.2476058006286621, 6.3612007141113285, 0.45300021171569826), (0.24599967002868653, 1.0312003135681151, 1.220602321624756), 0.5299911975860596, 0.2543984889984131, 1024, 60, 16781977.2, 1919895.4,
32768, 32768, (0.4883983612060547, 15.359000539779663, 0.8923998355865479), (0.48579988479614256, 3.1687948226928713, 3.5412082195281984), 1.2352046012878417, 0.491794490814209, 1024, 60, 33564216.4, 3838817.8,
65536, 65536, (0.9822025775909424, 41.18220744132996, 1.8839558124542237), (1.0371085166931153, 11.045997619628906, 11.348597717285156), 3.0683960914611816, 0.9688045024871826, 1024, 60, 67128741.0, 7676688.0,
--START RSA BENCHMARK--
128, 128, (0.002201557159423828, 0.02119283676147461, 0.00339813232421875), (0.0018024921417236328, 0.0030021190643310545, 0.005600500106811524), 0.00359954833984375, 0.0017996788024902343, 1024, 60, 131008.4, 16026.8,
256, 256, (0.003600454330444336, 0.04860157966613769, 0.0067994117736816405), (0.004602909088134766, 0.005799674987792968, 0.010596752166748047), 0.0072021484375, 0.004001426696777344, 1024, 60, 262020.0, 30997.2,
